"false_discovery_rate","true_positive_rate","labels","types"
0.133041708439512,0.725366984813815,"CLOAK","red"
0.0417322150362372,0.521403981175085,"Divvier-d","red"
0.0318427329351187,0.471287312356157,"Divvier-pf","red"
0.253562855766408,0.722192299844507,"Clustal Ω","black"
0.219388556189816,0.769826836236442,"Muscle5","black"
0.23532388170162,0.752210232175827,"MAFFT","black"
0.053942517293495,0.5194760327486,"HmmCleaner","red"
0.08562435780923,0.5876329402457,"GUIDANCE2","red"
0.095493058949459,0.6993483920184,"TAPER","red"
