"","variable","value"
"291","uncleaned",34
"292","uncleaned",33
"293","uncleaned",34
"294","uncleaned",36
"295","uncleaned",35
"296","uncleaned",35
"297","uncleaned",35
"298","uncleaned",35
"299","uncleaned",33
"300","uncleaned",35
"301","uncleaned",36
"302","uncleaned",33
"303","uncleaned",36
"304","uncleaned",36
"305","uncleaned",34
"306","uncleaned",35
"307","uncleaned",34
"308","uncleaned",34
"309","uncleaned",35
"310","uncleaned",35
"311","uncleaned",35
"312","uncleaned",35
"313","uncleaned",35
"314","uncleaned",34
"315","uncleaned",35
"316","uncleaned",36
"317","uncleaned",34
"318","uncleaned",33
"319","uncleaned",35
"320","uncleaned",36
"321","uncleaned",36
"322","uncleaned",35
"323","uncleaned",33
"324","uncleaned",35
"325","uncleaned",36
"326","uncleaned",34
"327","uncleaned",35
"328","uncleaned",36
"329","uncleaned",34
"330","uncleaned",35
"331","uncleaned",35
"332","uncleaned",34
"333","uncleaned",36
"334","uncleaned",35
"335","uncleaned",35
"336","uncleaned",34
"337","uncleaned",36
"338","uncleaned",36
"339","uncleaned",35
"340","uncleaned",36
"341","uncleaned",36
"342","uncleaned",34
"343","uncleaned",35
"344","uncleaned",36
"345","uncleaned",34
"346","uncleaned",35
"347","uncleaned",36
"348","uncleaned",34
"349","uncleaned",36
"350","uncleaned",34
"351","uncleaned",34
"352","uncleaned",33
"353","uncleaned",33
"354","uncleaned",36
"355","uncleaned",35
"356","uncleaned",36
"357","uncleaned",33
"358","uncleaned",33
"359","uncleaned",33
"360","uncleaned",35
"361","uncleaned",34
"362","uncleaned",36
"363","uncleaned",36
"364","uncleaned",34
"365","uncleaned",36
"366","uncleaned",35
"367","uncleaned",35
"368","uncleaned",36
"369","uncleaned",34
"370","uncleaned",35
"371","uncleaned",36
"372","uncleaned",36
"373","uncleaned",33
"374","uncleaned",36
"375","uncleaned",34
"376","uncleaned",36
"377","uncleaned",35
"378","uncleaned",37
"379","uncleaned",36
"380","uncleaned",36
"381","uncleaned",36
"382","uncleaned",36
"383","uncleaned",35
"384","uncleaned",35
"385","uncleaned",36
"386","uncleaned",33
"387","uncleaned",36
"388","uncleaned",34
"389","uncleaned",34
"390","uncleaned",35
"391","uncleaned",36
"392","uncleaned",35
"393","uncleaned",34
"394","uncleaned",34
"395","uncleaned",36
"396","uncleaned",36
"397","uncleaned",34
"398","uncleaned",36
"399","uncleaned",33
