"","variable","value"
"1","diff1",0.082
"2","diff1",0.133
"3","diff1",0.0619999999999999
"4","diff1",0.0479999999999999
"5","diff1",0.081
"6","diff1",0.102
"7","diff1",0.0549999999999999
"8","diff1",0.0579999999999999
"9","diff1",0.081
"10","diff1",0.0489999999999999
"11","diff1",0.129
"12","diff1",0.071
"13","diff1",0.085
"14","diff1",0.088
"15","diff1",0.097
"16","diff1",0.09
"17","diff1",0.0609999999999999
"18","diff1",0.0459999999999999
"19","diff1",0.075
"20","diff1",0.082
"21","diff1",0.075
"22","diff1",0.107
"23","diff1",0.098
"24","diff1",0.0339999999999999
"25","diff1",0.074
"26","diff1",0.114
"27","diff1",0.038
"28","diff1",0.105
"29","diff1",0.088
"30","diff1",0.102
"31","diff1",0.0509999999999999
"32","diff1",0.076
"33","diff1",0.0649999999999999
"34","diff1",0.089
"35","diff1",0.0559999999999999
"36","diff1",0.104
"37","diff1",0.0419999999999999
"38","diff1",0.114
"39","diff1",0.116
"40","diff1",0.079
"41","diff1",0.0589999999999999
"42","diff1",0.0539999999999999
"43","diff1",0.0579999999999999
"44","diff1",0.122
"45","diff1",0.08
"46","diff1",0.073
"47","diff1",0.114
"48","diff1",0.0579999999999999
"49","diff1",0.0489999999999999
"50","diff1",0.0389999999999999
"51","diff1",0.092
"52","diff1",0.0569999999999999
"53","diff1",0.046
"54","diff1",0.079
"55","diff1",0.0429999999999999
"56","diff1",0.111
"57","diff1",0.108
"58","diff1",0.0399999999999999
"59","diff1",0.095
"60","diff1",0.083
"61","diff1",0.08
"62","diff1",0.078
"63","diff1",0.0629999999999999
"64","diff1",0.097
"65","diff1",0.074
"66","diff1",0.073
"67","diff1",0.097
"68","diff1",0.071
"69","diff1",0.0439999999999999
"70","diff1",0.0639999999999999
"71","diff1",0.0669999999999999
"72","diff1",0.022
"73","diff1",0.089
"74","diff1",0.0389999999999999
"75","diff1",0.0489999999999999
"76","diff1",0.0639999999999999
"77","diff1",0.088
"78","diff1",0.0569999999999999
"79","diff1",0.0519999999999999
"80","diff1",0.111
"81","diff1",0.033
"82","diff1",0.0610000000000001
"83","diff1",0.0539999999999999
"84","diff1",0.082
"85","diff1",0.0609999999999999
"86","diff1",0.0219999999999999
"87","diff1",0.094
"88","diff1",0.095
"89","diff1",0.109
"90","diff1",0.099
"91","diff1",0.082
"92","diff1",0.0539999999999999
"93","diff1",0.0659999999999999
"94","diff1",0.104
"95","diff1",0.083
"96","diff1",0.0679999999999999
"97","diff1",0.094
"98","diff1",0.091
"99","diff1",0.013
"100","diff1",0.0679999999999999
"101","diff1",0.104
"102","diff1",0.0379999999999999
"103","diff1",0.084
"104","diff1",0.091
"105","diff1",-0.0139999999999999
"106","diff1",0.081
"107","diff1",0.097
"108","diff1",0.084
"109","diff1",0.0469999999999999
"110","diff1",0.083
"111","diff1",0.105
"112","diff1",0.09
"113","diff1",0.082
"114","diff1",0.09
"115","diff1",0.0679999999999999
"116","diff1",0.0659999999999999
"117","diff1",0.0639999999999999
"118","diff1",0.0670000000000001
"119","diff1",0.0309999999999999
"120","diff1",0.077
"121","diff1",0.0599999999999999
"122","diff1",0.085
"123","diff1",0.095
"124","diff1",0.048
"125","diff1",0.0519999999999999
"126","diff1",0.0459999999999999
"127","diff1",0.0669999999999999
"128","diff1",0.106
"129","diff1",0.0639999999999999
"130","diff1",0.075
"131","diff1",0.087
"132","diff1",0.12
"133","diff1",0.074
"134","diff1",0.0459999999999999
"135","diff1",0.106
"136","diff1",0.113
"137","diff1",0.099
"138","diff1",0.115
"139","diff1",0.0359999999999999
"140","diff1",0.072
"141","diff1",0.094
"142","diff1",0.097
"143","diff1",0.105
"144","diff1",0.0629999999999999
"145","diff1",0.0519999999999999
"146","diff1",0.083
