"","variable","value"
"291","uncleaned",130
"292","uncleaned",136
"293","uncleaned",137
"294","uncleaned",138
"295","uncleaned",130
"296","uncleaned",136
"297","uncleaned",128
"298","uncleaned",133
"299","uncleaned",129
"300","uncleaned",127
"301","uncleaned",145
"302","uncleaned",146
"303","uncleaned",143
"304","uncleaned",145
"305","uncleaned",143
"306","uncleaned",139
"307","uncleaned",150
"308","uncleaned",140
"309","uncleaned",140
"310","uncleaned",151
"311","uncleaned",139
"312","uncleaned",140
"313","uncleaned",146
"314","uncleaned",148
"315","uncleaned",144
"316","uncleaned",150
"317","uncleaned",140
"318","uncleaned",144
"319","uncleaned",148
"320","uncleaned",142
"321","uncleaned",146
"322","uncleaned",139
"323","uncleaned",152
"324","uncleaned",142
"325","uncleaned",149
"326","uncleaned",148
"327","uncleaned",151
"328","uncleaned",147
"329","uncleaned",145
"330","uncleaned",149
"331","uncleaned",147
"332","uncleaned",143
"333","uncleaned",146
"334","uncleaned",144
"335","uncleaned",147
"336","uncleaned",140
"337","uncleaned",148
"338","uncleaned",149
"339","uncleaned",145
"340","uncleaned",139
"341","uncleaned",150
"342","uncleaned",148
"343","uncleaned",141
"344","uncleaned",143
"345","uncleaned",151
"346","uncleaned",139
"347","uncleaned",152
"348","uncleaned",149
"349","uncleaned",141
"350","uncleaned",150
"351","uncleaned",151
"352","uncleaned",147
"353","uncleaned",146
"354","uncleaned",151
"355","uncleaned",149
"356","uncleaned",150
"357","uncleaned",142
"358","uncleaned",147
"359","uncleaned",143
"360","uncleaned",143
"361","uncleaned",148
"362","uncleaned",150
"363","uncleaned",145
"364","uncleaned",141
"365","uncleaned",146
"366","uncleaned",141
"367","uncleaned",149
"368","uncleaned",152
"369","uncleaned",149
"370","uncleaned",143
"371","uncleaned",147
"372","uncleaned",150
"373","uncleaned",142
"374","uncleaned",140
"375","uncleaned",140
"376","uncleaned",140
"377","uncleaned",151
"378","uncleaned",148
"379","uncleaned",146
"380","uncleaned",152
"381","uncleaned",145
"382","uncleaned",139
"383","uncleaned",142
"384","uncleaned",140
"385","uncleaned",141
"386","uncleaned",148
"387","uncleaned",146
"388","uncleaned",146
"389","uncleaned",146
"390","uncleaned",150
"391","uncleaned",150
"392","uncleaned",141
"393","uncleaned",148
"394","uncleaned",141
"395","uncleaned",143
"396","uncleaned",145
"397","uncleaned",140
"398","uncleaned",148
"399","uncleaned",151
"400","uncleaned",144
"401","uncleaned",155
"402","uncleaned",162
"403","uncleaned",159
"404","uncleaned",161
"405","uncleaned",155
"406","uncleaned",153
"407","uncleaned",155
"408","uncleaned",162
"409","uncleaned",157
"410","uncleaned",162
"411","uncleaned",160
"412","uncleaned",161
"413","uncleaned",159
"414","uncleaned",160
"415","uncleaned",157
"416","uncleaned",157
"417","uncleaned",157
"418","uncleaned",153
"419","uncleaned",160
"420","uncleaned",153
"421","uncleaned",153
"422","uncleaned",156
"423","uncleaned",157
"424","uncleaned",152
"425","uncleaned",156
"426","uncleaned",158
"427","uncleaned",158
"428","uncleaned",153
"429","uncleaned",160
"430","uncleaned",160
"431","uncleaned",160
"432","uncleaned",158
"433","uncleaned",157
