"","variable","value"
"1","diff1",0.0105263157894737
"2","diff1",0.0631578947368421
"3","diff1",-0.0631578947368421
"4","diff1",0.0315789473684212
"5","diff1",-0.0105263157894737
"6","diff1",0.0105263157894737
"7","diff1",0.0578947368421052
"8","diff1",0
"9","diff1",-0.0526315789473684
"10","diff1",-0.0789473684210527
"11","diff1",0.00526315789473686
"12","diff1",-0.0631578947368423
"13","diff1",0.0631578947368421
"14","diff1",0.0105263157894737
"15","diff1",-0.0631578947368421
"16","diff1",0.1
"17","diff1",0.0421052631578946
"18","diff1",0.105263157894737
"19","diff1",0.0578947368421052
"20","diff1",-0.0315789473684212
"21","diff1",0.221052631578947
"22","diff1",0.0894736842105264
"23","diff1",-0.0263157894736843
"24","diff1",-0.00526315789473686
"25","diff1",-0.00526315789473686
"26","diff1",-0.0842105263157895
"27","diff1",0.142105263157895
"28","diff1",-0.0421052631578946
"29","diff1",0.0157894736842106
"30","diff1",0
"31","diff1",0.110526315789474
"32","diff1",0.00526315789473686
"33","diff1",-0.142105263157895
"34","diff1",0.0105263157894737
"35","diff1",0.0947368421052632
"36","diff1",0.0105263157894737
"37","diff1",-0.0473684210526317
"38","diff1",0.0631578947368421
"39","diff1",-0.0684210526315789
"40","diff1",-0.126315789473684
"41","diff1",0.121052631578948
"42","diff1",0.094736842105263
"43","diff1",0
"44","diff1",0.157894736842105
"45","diff1",0
"46","diff1",0.110526315789474
"47","diff1",0.0947368421052632
"48","diff1",0.0789473684210527
"49","diff1",0.0789473684210527
"50","diff1",-0.00526315789473686
"51","diff1",-0.0842105263157895
"52","diff1",-0.0157894736842106
"53","diff1",-0.0421052631578949
"54","diff1",-0.036842105263158
"55","diff1",-0.0421052631578946
"56","diff1",0.0894736842105261
"57","diff1",-0.00526315789473664
"58","diff1",0.0157894736842106
"59","diff1",0.0578947368421052
"60","diff1",0.136842105263158
"61","diff1",0.0157894736842106
"62","diff1",0.0684210526315789
"63","diff1",0.0736842105263158
"64","diff1",0.105263157894737
"65","diff1",0.0263157894736843
"66","diff1",-0.0157894736842106
"67","diff1",0.036842105263158
"68","diff1",-0.0263157894736843
"69","diff1",-0.0105263157894737
"70","diff1",0.0421052631578949
"71","diff1",-0.0105263157894737
"72","diff1",0.0263157894736843
"73","diff1",0.0842105263157895
"74","diff1",0.142105263157895
"75","diff1",0.0947368421052632
"76","diff1",-0.0105263157894737
