"","variable","value","ordered"
"146","uncleaned",48.9715178085434,TRUE
"147","uncleaned",51.5220639175684,TRUE
"148","uncleaned",50.2839141353077,TRUE
"149","uncleaned",49.7641504028943,TRUE
"150","uncleaned",50.6641020111475,TRUE
"151","uncleaned",44.9710606566719,TRUE
"152","uncleaned",41.6216032000495,TRUE
"153","uncleaned",48.3157554890047,TRUE
"154","uncleaned",45.8917112708461,TRUE
"155","uncleaned",51.9257658853816,TRUE
"156","uncleaned",52.5060240085135,TRUE
"157","uncleaned",44.1211309040484,TRUE
"158","uncleaned",42.5736492213355,TRUE
"159","uncleaned",46.4510465492896,TRUE
"160","uncleaned",44.0261280433843,TRUE
"161","uncleaned",50.8011032917234,TRUE
"162","uncleaned",46.5959050296577,TRUE
"163","uncleaned",51.3219102111009,TRUE
"164","uncleaned",37.0039110170188,TRUE
"165","uncleaned",49.3044880917591,TRUE
"166","uncleaned",50.0744535368418,TRUE
"167","uncleaned",43.0805783339267,TRUE
"168","uncleaned",38.1068288601398,TRUE
"169","uncleaned",49.6348109143287,TRUE
"170","uncleaned",51.1647648117891,TRUE
"171","uncleaned",46.7655104646497,TRUE
"172","uncleaned",47.5962405972221,TRUE
"173","uncleaned",49.9900578452784,TRUE
"174","uncleaned",38.8145904410203,TRUE
"175","uncleaned",36.8694965919133,TRUE
"176","uncleaned",46.354411320625,TRUE
"177","uncleaned",50.0817801410547,TRUE
"178","uncleaned",49.7932902333493,TRUE
"179","uncleaned",52.4398748409436,TRUE
"180","uncleaned",36.7705641507964,TRUE
"181","uncleaned",52.2326764312435,TRUE
"182","uncleaned",50.4927680936548,TRUE
"183","uncleaned",49.4812362548409,TRUE
"184","uncleaned",47.2490553983241,TRUE
"185","uncleaned",47.457805379791,TRUE
"186","uncleaned",40.1906631987923,TRUE
"187","uncleaned",41.0955134568298,TRUE
"188","uncleaned",38.7673972697434,TRUE
"189","uncleaned",28.5377648470675,TRUE
"190","uncleaned",37.7181670066956,TRUE
"191","uncleaned",51.2969757932413,TRUE
"192","uncleaned",48.3971908277965,TRUE
"193","uncleaned",52.5069797768847,TRUE
"194","uncleaned",45.2368387428402,TRUE
"195","uncleaned",50.9523332326903,TRUE
"196","uncleaned",50.1948404186302,TRUE
"197","uncleaned",44.8767131256979,TRUE
"198","uncleaned",47.4835829752517,TRUE
"199","uncleaned",51.5668541149442,TRUE
"200","uncleaned",34.5529821858097,TRUE
"201","uncleaned",55.7558756506475,TRUE
"202","uncleaned",55.9154527263876,TRUE
"203","uncleaned",55.8897259910236,TRUE
"204","uncleaned",54.3306924934408,TRUE
"205","uncleaned",55.5411173202159,TRUE
"206","uncleaned",53.8382723195296,TRUE
"207","uncleaned",54.9082258219528,TRUE
"208","uncleaned",55.8447380519561,TRUE
"209","uncleaned",56.3463423929215,TRUE
"210","uncleaned",54.1930176260047,TRUE
"211","uncleaned",53.7042155583769,TRUE
"212","uncleaned",57.3317194199963,TRUE
"213","uncleaned",54.9551207102721,TRUE
"214","uncleaned",54.4094111584878,TRUE
"215","uncleaned",56.3197879827127,TRUE
"216","uncleaned",55.3151157694197,TRUE
"217","uncleaned",55.0626104642558,TRUE
"218","uncleaned",57.6730966610044,TRUE
"219","uncleaned",58.1428072904059,TRUE
"220","uncleaned",53.0438918217516,TRUE
"221","uncleaned",54.6754985259071,TRUE
"222","uncleaned",55.3213086406205,TRUE
"223","uncleaned",54.7045043165676,TRUE
"224","uncleaned",53.8619052345197,TRUE
"225","uncleaned",56.9596083215257,TRUE
"226","uncleaned",55.1667384395676,TRUE
"227","uncleaned",58.0220473447328,TRUE
"228","uncleaned",55.1360858741472,TRUE
"229","uncleaned",57.0579624603976,TRUE
"230","uncleaned",53.3499398305427,TRUE
"231","uncleaned",57.0597338242937,TRUE
"232","uncleaned",57.7313672892706,TRUE
"233","uncleaned",56.6744791074902,TRUE
"234","uncleaned",56.1116792931199,TRUE
"235","uncleaned",52.9961838088674,TRUE
"236","uncleaned",55.0351227426642,TRUE
"237","uncleaned",58.0230707971987,TRUE
"238","uncleaned",54.8648673013732,TRUE
"239","uncleaned",55.7770509019883,TRUE
"240","uncleaned",54.4692359425786,TRUE
"241","uncleaned",57.1468204561784,TRUE
"242","uncleaned",56.1981385597073,TRUE
"243","uncleaned",56.4601410050062,TRUE
"244","uncleaned",55.6999183889396,TRUE
"245","uncleaned",57.6457234722486,TRUE
"246","uncleaned",56.1370008232946,TRUE
"247","uncleaned",53.8575177475666,TRUE
