"","variable","value"
"290","diff2",0.055
"291","diff2",0.086
"292","diff2",0.05
"293","diff2",0.086
"294","diff2",0.043
"295","diff2",0.088
"296","diff2",0.073
"297","diff2",0.079
"298","diff2",0.047
"299","diff2",0.041
"300","diff2",0.061
"301","diff2",0.061
"302","diff2",0.064
"303","diff2",0.051
"304","diff2",0.06
"305","diff2",0.044
"306","diff2",0.087
"307","diff2",0.083
"308","diff2",0.028
"309","diff2",0.069
"310","diff2",0.069
"311","diff2",0.071
"312","diff2",0.092
"313","diff2",0.083
"314","diff2",0.062
"315","diff2",0.075
"316","diff2",0.0119999999999999
"317","diff2",0.054
"318","diff2",0.056
"319","diff2",0.051
"320","diff2",0.057
"321","diff2",0.091
"322","diff2",0.057
"323","diff2",0.079
"324","diff2",0.074
"325","diff2",0.075
"326","diff2",0.089
"327","diff2",0.073
"328","diff2",0.048
"329","diff2",0.063
"330","diff2",0.112
"331","diff2",0.069
"332","diff2",0.075
"333","diff2",0.064
"334","diff2",0.074
"335","diff2",0.09
"336","diff2",0.08
"337","diff2",0.063
"338","diff2",0.062
"339","diff2",0.117
"340","diff2",0.064
"341","diff2",0.081
"342","diff2",0.06
"343","diff2",0.099
"344","diff2",0.097
"345","diff2",0.101
"346","diff2",0.091
"347","diff2",0.108
"348","diff2",0.058
"349","diff2",0.077
"350","diff2",0.049
"351","diff2",0.057
"352","diff2",0.099
"353","diff2",0.1
"354","diff2",0.071
"355","diff2",0.085
"356","diff2",0.056
"357","diff2",0.072
"358","diff2",0.112
"359","diff2",0.076
"360","diff2",0.06
"361","diff2",0.074
"362","diff2",0.072
"363","diff2",0.036
"364","diff2",0.056
"365","diff2",0.069
"366","diff2",0.05
"367","diff2",0.104
"368","diff2",0.078
"369","diff2",0.094
"370","diff2",0.086
"371","diff2",0.063
"372","diff2",0.044
"373","diff2",0.059
"374","diff2",0.089
"375","diff2",0.071
"376","diff2",0.091
"377","diff2",0.081
"378","diff2",0.076
"379","diff2",0.031
"380","diff2",0.071
"381","diff2",0.073
"382","diff2",0.085
"383","diff2",0.094
"384","diff2",0.095
"385","diff2",0.07
"386","diff2",0.089
"387","diff2",0.071
"388","diff2",0.102
"389","diff2",0.061
"390","diff2",0.091
"391","diff2",0.054
"392","diff2",0.075
"393","diff2",0.086
"394","diff2",0.093
"395","diff2",0.114
"396","diff2",0.064
"397","diff2",0.035
"398","diff2",0.093
"399","diff2",0.059
"400","diff2",0.07
"401","diff2",0.057
"402","diff2",0.073
"403","diff2",0.09
"404","diff2",0.072
"405","diff2",0.1
"406","diff2",0.071
"407","diff2",0.066
"408","diff2",0.068
"409","diff2",0.072
"410","diff2",0.062
"411","diff2",0.073
"412","diff2",0.08
"413","diff2",0.107
"414","diff2",0.089
"415","diff2",0.099
"416","diff2",0.07
"417","diff2",0.037
"418","diff2",0.087
"419","diff2",0.078
"420","diff2",0.074
"421","diff2",0.055
"422","diff2",0.039
"423","diff2",0.054
"424","diff2",0.07
"425","diff2",0.084
"426","diff2",0.044
"427","diff2",0.047
"428","diff2",0.063
"429","diff2",0.057
"430","diff2",0.05
"431","diff2",0.087
"432","diff2",0.09
"433","diff2",0.099
"434","diff2",0.067
"435","diff2",0.102
"436","diff2",0.057
"437","diff2",0.06
"438","diff2",0.082
"439","diff2",0.058
"440","diff2",0.093
"441","diff2",0.054
"442","diff2",0.071
"443","diff2",0.054
"444","diff2",0.055
"445","diff2",0.068
"446","diff2",0.092
"447","diff2",0.105
"448","diff2",0.086
"449","diff2",0.089
"450","diff2",0.077
"451","diff2",0.049
"452","diff2",0.072
"453","diff2",0.044
"454","diff2",0.077
"455","diff2",0.063
"456","diff2",0.064
"457","diff2",0.057
"458","diff2",0.095
"459","diff2",0.075
"460","diff2",0.065
"461","diff2",0.097
"462","diff2",0.081
"463","diff2",0.123
"464","diff2",0.074
"465","diff2",0.08
"466","diff2",0.066
"467","diff2",0.049
"468","diff2",0.073
"469","diff2",0.0199999999999999
"470","diff2",0.1
"471","diff2",0.074
"472","diff2",0.091
"473","diff2",0.074
"474","diff2",0.096
"475","diff2",0.079
"476","diff2",0.083
"477","diff2",0.089
"478","diff2",0.066
"479","diff2",0.057
"480","diff2",0.088
"481","diff2",0.069
"482","diff2",0.061
"483","diff2",0.093
"484","diff2",0.096
"485","diff2",0.064
"486","diff2",0.08
"487","diff2",0.117
"488","diff2",0.099
"489","diff2",0.074
"490","diff2",0.099
"491","diff2",0.058
"492","diff2",0.077
"493","diff2",0.052
"494","diff2",0.091
"495","diff2",0.084
"496","diff2",0.041
"497","diff2",0.074
"498","diff2",0.075
"499","diff2",0.07
"500","diff2",0.076
"501","diff2",0.076
"502","diff2",0.076
"503","diff2",0.076
"504","diff2",0.076
"505","diff2",0.076
"506","diff2",0.076
"507","diff2",0.076
"508","diff2",0.076
"509","diff2",0.076
"510","diff2",0.076
"511","diff2",0.076
"512","diff2",0.076
"513","diff2",0.076
"514","diff2",0.076
"515","diff2",0.076
"516","diff2",0.076
"517","diff2",0.076
"518","diff2",0.076
"519","diff2",0.076
"520","diff2",0.076
"521","diff2",0.076
"522","diff2",0.076
"523","diff2",0.076
"524","diff2",0.076
"525","diff2",0.076
"526","diff2",0.076
"527","diff2",0.076
"528","diff2",0.076
"529","diff2",0.076
"530","diff2",0.076
"531","diff2",0.097
"532","diff2",0.058
"533","diff2",0.082
"534","diff2",0.074
"535","diff2",0.089
"536","diff2",0.074
"537","diff2",0.063
"538","diff2",0.062
"539","diff2",0.101
"540","diff2",0.064
"541","diff2",0.086
"542","diff2",0.076
"543","diff2",0.106
"544","diff2",0.079
"545","diff2",0.048
"546","diff2",0.044
"547","diff2",0.104
"548","diff2",0.028
"549","diff2",0.066
"550","diff2",0.092
"551","diff2",0.069
"552","diff2",0.073
"553","diff2",0.079
"554","diff2",0.028
"555","diff2",0.118
"556","diff2",0.086
"557","diff2",0.104
"558","diff2",0.083
"559","diff2",0.077
"560","diff2",0.115
"561","diff2",0.064
"562","diff2",0.036
"563","diff2",0.0139999999999999
"564","diff2",0.038
"565","diff2",0.108
"566","diff2",0.079
"567","diff2",0.07
"568","diff2",0.091
"569","diff2",0.084
"570","diff2",0.066
"571","diff2",0.096
"572","diff2",0.058
"573","diff2",0.063
"574","diff2",0.057
"575","diff2",0.091
"576","diff2",0.13
"577","diff2",0.064
"578","diff2",0.056
"579","diff2",0.076
"580","diff2",0.084
"581","diff2",0.063
"582","diff2",0.046
"583","diff2",0.049
"584","diff2",0.079
"585","diff2",0.071
"586","diff2",0.102
"587","diff2",0.064
"588","diff2",0.051
"589","diff2",0.076
"590","diff2",0.115
"591","diff2",0.109
